_id,id,description,company,deleted,deletedAt,updatedAt,createdAt,__v
65e723c0d3ddf3ae55b114ff,206,BR000206 - PLANEJAMENTO SAUDE RETAIL E TAILOR MADE,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11500,207,BR000207 - GERENCIA DE PROJETOS MINING,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11501,208,BR000208 - GERENCIA DESENV TECNICO,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11502,209,BR000209 - GERENCIA DESENV TECNICO MINING,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11503,210,BR000210 - CLIENTS FOR LIFE,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11504,211,BR000211 - WASTE WATCH BRAZIL,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11505,212,BR000212 - OPERAÇÕES SUL XVI,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11506,218,BR000218 - DIRECAO GERAL,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11507,219,BR000219 - STOCK OPTIONS,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11508,220,BR000220 - INTEGRACAO DIRECAO GERAL,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11509,221,BR000221 - INTEGRACAO COMPRAS,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b1150a,222,BR000222 - INTEGRACAO LOGISTICA,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b1150b,223,BR000223 - INTEGRACAO FINANCAS,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b1150c,224,BR000224 - INTEGRACAO RH,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b1150d,225,BR000225 - INTEGRACAO COMERCIAL,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b1150e,226,BR000226 - INTEGRACAO MARKETING,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b1150f,227,BR000227 - PROJETOS DE SO,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11510,228,BR000228 - INTEGRACAO IT,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11511,229,BR000229 - INTEGRACAO PLANEJAMENTO ESTRATEGICO,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11512,230,BR000230 - EVENTOS CORPORATIVOS,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11513,231,BR000231 - INTEGRACAO FACILITIES,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11514,233,BR000233 - INTEGRACAO UNIAO SAP,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11515,239,BR000239 - CHANGE MANAGEMENT,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11516,240,BR000240 - PROJETOS RH-FOLHA DE PAGAMENTO,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11517,241,BR000241 - PROJETO SAP CORE,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11518,242,BR000242 - PROJETO INTEGRAÇÕES (TECFOOD),5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11519,243,BR000243 - PROJETO VARREDURA,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b1151a,250,BR000250 - DIREÇÃO HSE E PROCESSOS,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b1151b,300,BR000300 - DIRECAO ADMINISTRATIVO FINANCEIRA,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b1151c,301,BR000301 - DATACENTER-INFRASTRUCTURE RUN,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b1151d,302,BR000302 - DATACENTER-L&S-INFRASTRUCTURE RUN,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b1151e,303,BR000303 - END-USER COMP.-INFRA RUN,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b1151f,304,BR000304 - END-USER COMP.L&S-INFR RUN,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11520,305,BR000305 - GESTAO CENTRO SERV.FINANC.(SSC HEAD),5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11521,306,BR000306 - MASTER DATA,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11522,307,BR000307 - CONTROLADORIA OPERACIONAL,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11523,308,BR000308 - WAN-INFRASTRUCTURE RUN,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11524,309,BR000309 - LAN-INFRASTRUCTURE RUN,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11525,310,BR000310 - JURIDICO,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11526,311,BR000311 - FINANCE - TRANSVERSAL FUNCTIONS,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11527,312,BR000312 - SERVIÇOS RH-GERÊNCIA,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11528,313,BR000313 - PLANEJAMENTO FINANCEIRO,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b11529,314,BR000314 - CONTABILIDADE,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b1152a,315,BR000315 - DIRETORIA DE CONTROLADORIA,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b1152b,316,BR000316 - IS&T MANAGEMENT-OTHER RUN,5df7d4b2a5161d3a0e587dc9,,,,,
65e723c0d3ddf3ae55b1152c,317,BR000317 - FISCAL,5df7d4b2a5161d3a0e587dc9,,,,,
